datetime,Open,High,Low,Close,Volume
2020-04-21 09:30:00,25.44,25.44,25.44,25.44,25
2020-07-27 09:30:00,29.275,29.285,29.21,29.25,1416
2020-07-27 09:45:00,29.195,29.295,29.195,29.255,971
2020-07-27 10:00:00,29.2,29.2,29.005,29.065,2159
2020-07-27 10:15:00,29.055,29.09,29.02,29.075,1719
2020-07-27 10:30:00,29.075,29.125,29.075,29.095,303
2020-07-27 10:45:00,29.11,29.12,29.075,29.075,905
2020-07-27 11:00:00,29.045,29.095,29.04,29.085,2967
2020-07-27 11:15:00,29.12,29.125,29.075,29.075,801
2020-07-27 11:30:00,29.035,29.19,29.035,29.095,3325
2020-07-27 11:45:00,29.185,29.185,29.11,29.11,200
2020-07-27 12:00:00,29.125,29.165,29.125,29.165,400
2020-07-27 12:15:00,29.25,29.32,29.25,29.32,1556
2020-07-27 12:30:00,29.33,29.435,29.325,29.43,1674
2020-07-27 12:45:00,29.475,29.5,29.475,29.495,797
2020-07-27 13:00:00,29.505,29.535,29.505,29.52,610
2020-07-27 13:30:00,29.7,29.735,29.645,29.645,2403
2020-07-27 13:45:00,29.695,29.735,29.695,29.705,700
2020-07-27 14:00:00,29.735,29.845,29.735,29.845,1001
2020-07-27 14:15:00,29.695,29.74,29.665,29.74,745
2020-07-27 14:30:00,29.785,29.785,29.785,29.785,100
2020-07-27 14:45:00,29.74,29.74,29.74,29.74,100
2020-07-27 15:00:00,29.755,29.775,29.755,29.775,265
2020-07-27 15:15:00,29.755,29.755,29.755,29.755,325
2020-07-27 15:30:00,29.755,29.755,29.755,29.755,200
2020-07-27 15:45:00,29.725,29.73,29.725,29.73,500
2020-07-28 09:30:00,29.475,29.475,29.46,29.46,333
2020-07-28 09:45:00,29.45,29.45,29.45,29.45,300
2020-07-28 10:15:00,29.515,29.515,29.515,29.515,100
2020-07-28 10:30:00,29.49,29.49,29.49,29.49,405
2020-07-28 10:45:00,29.44,29.44,29.44,29.44,400
2020-07-28 11:00:00,29.36,29.36,29.325,29.325,953
2020-07-28 11:15:00,29.29,29.39,29.29,29.39,725
2020-07-28 11:30:00,29.415,29.47,29.415,29.46,400
2020-07-28 11:45:00,29.455,29.46,29.455,29.46,1200
2020-07-28 12:00:00,29.455,29.455,29.455,29.455,166
2020-07-28 12:30:00,29.38,29.38,29.38,29.38,300
2020-07-28 13:15:00,29.41,29.41,29.41,29.41,400
2020-07-28 14:00:00,29.33,29.43,29.33,29.43,900
