datetime,Open,High,Low,Close,Volume
2020-07-27 10:00:00,29.2,29.2,29.005,29.075,5086
2020-07-27 11:00:00,29.045,29.19,29.035,29.11,7293
2020-07-27 12:00:00,29.125,29.5,29.125,29.495,4427
2020-07-27 13:00:00,29.505,29.735,29.505,29.705,3713
2020-07-27 14:00:00,29.735,29.845,29.665,29.74,1946
2020-07-27 15:00:00,29.755,29.775,29.725,29.73,1290
2020-07-28 10:00:00,29.515,29.515,29.44,29.44,905
2020-07-28 11:00:00,29.36,29.47,29.29,29.46,3278
2020-07-28 12:00:00,29.455,29.455,29.38,29.38,466
2020-07-28 13:00:00,29.41,29.41,29.41,29.41,400
2020-07-28 14:00:00,29.33,29.43,29.33,29.43,900
2020-07-28 15:00:00,29.33,29.345,29.33,29.345,300
2020-07-29 10:00:00,29.635,29.69,29.53,29.53,7233
2020-07-29 11:00:00,29.595,29.75,29.505,29.59,1240
2020-07-29 12:00:00,29.6,29.6,29.6,29.6,300
2020-07-29 13:00:00,29.535,29.54,29.515,29.515,1200
2020-07-29 14:00:00,29.58,29.63,29.58,29.585,4907
2020-07-29 15:00:00,29.545,29.595,29.545,29.585,2173
2020-07-30 10:00:00,28.61,28.61,27.91,28.565,11565
2020-07-30 11:00:00,28.515,28.725,28.515,28.725,6976
2020-07-30 12:00:00,28.735,28.895,28.665,28.835,1343
2020-07-30 13:00:00,28.825,28.89,28.705,28.705,2458
2020-07-30 14:00:00,28.645,28.955,28.565,28.915,3640
2020-07-30 15:00:00,28.865,28.945,28.865,28.94,8465
2020-07-31 10:00:00,28.935,28.955,28.615,28.705,2257
2020-07-31 11:00:00,28.65,28.845,28.65,28.77,2674
2020-07-31 12:00:00,28.675,28.705,28.655,28.695,1669
2020-07-31 13:00:00,28.715,29.03,28.715,29.03,1682
2020-07-31 14:00:00,29.065,29.065,28.875,28.985,1904
2020-07-31 15:00:00,28.975,29.065,28.975,29.065,7317
2020-08-03 10:00:00,29.12,29.425,29.12,29.425,2613
2020-08-03 11:00:00,29.49,29.59,29.455,29.555,3400
2020-08-03 12:00:00,29.525,29.545,29.395,29.51,1864
2020-08-03 13:00:00,29.54,29.635,29.535,29.595,3927
2020-08-03 14:00:00,29.575,29.595,29.4,29.485,6322
2020-08-03 15:00:00,29.405,29.415,29.355,29.355,3547
2020-08-04 10:00:00,29.375,29.725,29.375,29.645,4103
2020-08-04 11:00:00,29.65,29.895,29.65,29.845,5871
2020-08-04 12:00:00,29.88,29.88,29.8,29.8,1200
2020-08-04 13:00:00,29.775,30.14,29.765,30.135,5654
2020-08-04 14:00:00,30.12,30.12,29.84,29.84,3908
2020-08-04 15:00:00,29.81,29.815,29.755,29.765,10307
2020-08-05 10:00:00,30.965,31.01,30.72,30.875,24205
2020-08-05 11:00:00,30.885,30.935,30.685,30.685,5498
2020-08-05 12:00:00,30.645,30.705,30.445,30.525,6660
2020-08-05 13:00:00,30.445,30.445,30.185,30.285,3706
2020-08-05 14:00:00,30.275,30.365,30.215,30.355,4954
2020-08-05 15:00:00,30.365,30.365,30.23,30.23,7276
2020-08-06 10:00:00,30.41,30.47,30.22,30.355,3511
2020-08-06 11:00:00,30.35,30.35,30.31,30.31,573
2020-08-06 12:00:00,30.445,30.45,30.345,30.345,3169
2020-08-06 13:00:00,30.305,30.305,30.195,30.21,4300
2020-08-06 14:00:00,30.21,30.295,30.21,30.295,901
2020-08-06 15:00:00,30.275,30.28,30.185,30.195,2072
2020-08-07 10:00:00,29.8,29.885,29.8,29.885,1080
2020-08-07 11:00:00,29.73,29.77,29.73,29.77,302
2020-08-07 12:00:00,29.76,29.805,29.76,29.78,2007
2020-08-07 13:00:00,29.75,29.75,29.605,29.675,2806
2020-08-07 14:00:00,29.705,29.825,29.665,29.74,1680
2020-08-07 15:00:00,29.795,29.865,29.79,29.855,7270
2020-08-10 10:00:00,30.135,30.135,30.07,30.07,781
2020-08-10 11:00:00,30.07,30.205,29.98,30.205,4611
2020-08-10 12:00:00,30.195,30.195,30.18,30.18,724
2020-08-10 13:00:00,30.305,30.305,30.195,30.215,2216
2020-08-10 14:00:00,30.27,30.27,30.075,30.175,17463
2020-08-10 15:00:00,30.165,30.165,30.115,30.165,8165
2020-08-11 10:00:00,30.34,30.5,30.33,30.39,2499
2020-08-11 11:00:00,30.385,30.385,30.3,30.365,1028
2020-08-11 12:00:00,30.355,30.355,30.225,30.225,1729
2020-08-11 13:00:00,30.155,30.235,30.08,30.125,4516
2020-08-11 14:00:00,30.03,30.075,29.88,30.0,2900
2020-08-11 15:00:00,29.98,29.98,29.84,29.84,6220
2020-08-12 10:00:00,30.405,30.585,30.375,30.57,5166
2020-08-12 11:00:00,30.545,30.575,30.39,30.39,986
2020-08-12 12:00:00,30.425,30.425,30.335,30.405,1928
2020-08-12 13:00:00,30.43,30.525,30.405,30.525,1316
2020-08-12 14:00:00,30.555,30.745,30.555,30.655,6142
2020-08-12 15:00:00,30.645,30.645,30.545,30.555,3997
2020-08-13 10:00:00,30.555,30.555,30.44,30.44,600
2020-08-13 11:00:00,30.32,30.46,30.3,30.43,2433
2020-08-13 12:00:00,30.435,30.435,30.35,30.35,430
2020-08-13 13:00:00,30.345,30.37,30.285,30.37,1122
2020-08-13 14:00:00,30.335,30.37,30.3,30.37,4004
2020-08-13 15:00:00,30.425,30.425,30.425,30.425,739
2020-08-14 10:00:00,30.29,30.37,30.235,30.34,1575
2020-08-14 11:00:00,30.315,30.315,30.25,30.29,700
2020-08-14 12:00:00,30.285,30.285,30.205,30.22,754
2020-08-14 13:00:00,30.25,30.25,30.04,30.04,6757
2020-08-14 14:00:00,30.105,30.295,30.105,30.29,1737
2020-08-14 15:00:00,30.34,30.345,30.315,30.325,3022
2020-08-17 10:00:00,30.54,30.6,30.54,30.6,1567
2020-08-17 11:00:00,30.605,30.605,30.445,30.445,1500
2020-08-17 12:00:00,30.535,30.595,30.535,30.595,500
2020-08-17 13:00:00,30.635,30.745,30.635,30.745,1037
2020-08-17 14:00:00,30.755,30.845,30.755,30.755,5015
2020-08-17 15:00:00,30.755,30.78,30.725,30.755,3709
2020-08-18 10:00:00,30.575,30.645,30.425,30.545,5962
2020-08-18 11:00:00,30.585,30.705,30.575,30.695,5400
2020-08-18 12:00:00,30.685,30.755,30.685,30.725,6510
2020-08-18 13:00:00,30.685,30.765,30.66,30.765,11001
2020-08-18 14:00:00,30.775,30.805,30.635,30.635,4415
2020-08-18 15:00:00,30.635,30.665,30.585,30.605,9234
2020-08-19 10:00:00,30.47,30.61,30.47,30.5,2120
2020-08-19 11:00:00,30.57,30.72,30.57,30.72,900
2020-08-19 12:00:00,30.695,30.695,30.695,30.695,300
2020-08-19 13:00:00,30.75,30.75,30.75,30.75,1100
2020-08-19 14:00:00,30.775,30.775,30.675,30.7,1818
2020-08-19 15:00:00,30.72,30.72,30.635,30.66,2438
2020-08-20 10:00:00,29.79,30.56,29.79,30.495,17351
2020-08-20 11:00:00,30.525,30.54,30.395,30.42,1700
2020-08-20 12:00:00,30.425,30.455,30.415,30.455,1208
2020-08-20 13:00:00,30.53,30.53,30.455,30.455,412
2020-08-20 14:00:00,30.505,30.505,30.505,30.505,137
2020-08-20 15:00:00,30.54,30.575,30.525,30.53,3101
2020-08-21 10:00:00,30.025,30.175,30.025,30.165,600
2020-08-21 11:00:00,29.93,29.955,29.66,29.705,1802
2020-08-21 12:00:00,29.715,29.715,29.715,29.715,100
2020-08-21 13:00:00,29.895,30.015,29.895,30.015,500
2020-08-21 14:00:00,30.065,30.195,30.065,30.165,900
2020-08-21 15:00:00,30.165,30.185,30.135,30.155,4765
2020-08-24 10:00:00,30.305,30.455,30.305,30.355,800
2020-08-24 11:00:00,30.36,30.53,30.36,30.53,1644
2020-08-24 12:00:00,30.425,30.425,30.375,30.375,4610
2020-08-24 13:00:00,30.355,30.475,30.355,30.475,500
2020-08-24 14:00:00,30.395,30.475,30.395,30.47,1163
2020-08-24 15:00:00,30.345,30.355,30.325,30.335,4728
2020-08-25 10:00:00,30.84,30.84,30.605,30.755,2658
2020-08-25 11:00:00,30.745,30.9,30.745,30.9,2353
2020-08-25 12:00:00,30.93,30.985,30.845,30.865,1275
2020-08-25 13:00:00,30.875,30.995,30.875,30.935,2312
2020-08-25 14:00:00,30.825,30.97,30.825,30.905,6753
2020-08-25 15:00:00,30.905,30.945,30.905,30.935,900
2020-08-26 10:00:00,31.045,31.165,30.98,30.98,3487
2020-08-26 11:00:00,31.03,31.03,30.85,30.995,1500
2020-08-26 12:00:00,30.955,31.025,30.915,30.935,2813
2020-08-26 13:00:00,30.925,31.045,30.905,31.02,2415
2020-08-26 14:00:00,31.015,31.035,30.925,30.945,4654
2020-08-26 15:00:00,30.935,30.98,30.935,30.945,8451
2020-08-27 10:00:00,30.65,30.65,30.365,30.475,3099
2020-08-27 11:00:00,30.475,30.775,30.475,30.775,2000
2020-08-27 12:00:00,30.795,30.795,30.475,30.48,2211
2020-08-27 13:00:00,30.495,30.63,30.495,30.585,1540
2020-08-27 14:00:00,30.645,30.645,30.645,30.645,200
2020-08-27 15:00:00,30.655,30.655,30.64,30.64,1000
2020-08-28 10:00:00,30.62,30.64,30.53,30.62,1100
2020-08-28 11:00:00,30.61,30.76,30.61,30.735,1800
2020-08-28 12:00:00,30.735,30.735,30.735,30.735,259
2020-08-28 13:00:00,30.73,30.74,30.69,30.7,700
2020-08-28 15:00:00,30.72,30.725,30.715,30.715,1279
2020-08-31 10:00:00,30.84,30.84,30.765,30.77,936
2020-08-31 11:00:00,30.7,30.815,30.7,30.815,1800
2020-08-31 12:00:00,30.725,30.735,30.66,30.66,1400
2020-08-31 13:00:00,30.575,30.6,30.575,30.6,200
2020-08-31 14:00:00,30.5,30.56,30.4,30.515,4600
2020-08-31 15:00:00,30.59,30.595,30.545,30.55,15751
2020-09-01 10:00:00,30.795,30.915,30.795,30.87,857
2020-09-01 11:00:00,30.88,30.88,30.76,30.795,709
2020-09-01 12:00:00,30.79,30.795,30.79,30.795,485
2020-09-01 13:00:00,30.7,30.7,30.66,30.66,700
2020-09-01 14:00:00,30.62,30.62,30.56,30.57,1400
2020-09-01 15:00:00,30.575,30.66,30.575,30.64,6215
2020-09-02 10:00:00,30.3,30.57,30.04,30.14,4963
2020-09-02 11:00:00,30.015,30.015,29.855,29.86,2270
2020-09-02 12:00:00,29.875,29.875,29.835,29.835,9735
2020-09-02 13:00:00,29.805,29.945,29.675,29.675,5675
2020-09-02 14:00:00,29.65,29.74,29.65,29.675,1537
2020-09-02 15:00:00,29.695,29.855,29.695,29.855,3319
2020-09-03 10:00:00,29.475,29.68,29.235,29.265,5754
2020-09-03 11:00:00,29.25,29.37,29.065,29.37,8738
2020-09-03 12:00:00,29.405,29.66,29.405,29.65,4291
2020-09-03 13:00:00,29.63,29.755,29.57,29.645,9644
2020-09-03 14:00:00,29.705,29.715,29.575,29.695,2656
2020-09-03 15:00:00,29.605,29.675,29.58,29.645,4857
2020-09-04 10:00:00,29.205,29.205,28.785,28.95,3382
2020-09-04 11:00:00,28.91,28.935,28.7,28.755,3207
2020-09-04 12:00:00,28.8,28.8,28.64,28.64,2764
2020-09-04 13:00:00,28.6,28.63,28.46,28.585,2900
2020-09-04 14:00:00,28.69,28.73,28.57,28.71,4243
2020-09-04 15:00:00,28.705,28.705,28.515,28.515,2121
2020-09-08 10:00:00,26.585,26.765,26.34,26.34,21047
2020-09-08 11:00:00,26.32,26.59,26.29,26.48,8807
2020-09-08 12:00:00,26.7,26.885,26.695,26.695,1618
2020-09-08 13:00:00,26.6,26.7,26.53,26.7,2018
2020-09-08 14:00:00,26.715,26.875,26.45,26.875,9231
2020-09-08 15:00:00,26.865,26.905,26.755,26.765,2054
2020-09-09 10:00:00,26.89,26.93,26.765,26.9,2512
2020-09-09 11:00:00,27.005,27.5,27.005,27.355,20043
2020-09-09 12:00:00,27.385,27.58,27.385,27.58,730
2020-09-09 13:00:00,27.52,27.575,27.505,27.51,1700
2020-09-09 14:00:00,27.505,27.51,27.46,27.46,1600
2020-09-09 15:00:00,27.455,27.455,27.415,27.415,2363
2020-09-10 10:00:00,27.3,27.3,27.17,27.17,4255
2020-09-10 11:00:00,27.13,27.39,27.11,27.26,4212
2020-09-10 12:00:00,27.35,27.35,27.13,27.26,1368
2020-09-10 13:00:00,27.305,27.305,27.1,27.1,401
2020-09-10 14:00:00,27.085,27.085,26.865,26.865,1461
2020-09-10 15:00:00,26.83,26.87,26.78,26.82,4443
2020-09-11 10:00:00,26.84,27.15,26.8,27.15,2139
2020-09-11 11:00:00,27.1,27.14,27.0,27.05,2801
2020-09-11 12:00:00,27.11,27.17,27.09,27.12,4731
2020-09-11 13:00:00,27.02,27.02,26.895,26.9,3516
2020-09-11 14:00:00,27.0,27.0,26.91,26.91,1092
2020-09-11 15:00:00,27.08,27.08,27.07,27.07,7488
2020-09-14 10:00:00,26.855,26.98,26.8,26.83,6917
2020-09-14 11:00:00,26.85,26.85,26.75,26.81,1709
2020-09-14 12:00:00,26.88,26.88,26.81,26.81,400
2020-09-14 13:00:00,26.875,27.01,26.875,26.965,1561
2020-09-14 14:00:00,26.96,26.96,26.85,26.85,1000
2020-09-14 15:00:00,26.88,26.945,26.88,26.945,4780
2020-09-15 10:00:00,27.01,27.02,27.005,27.02,900
2020-09-15 11:00:00,27.06,27.405,27.055,27.23,3446
2020-09-15 12:00:00,27.25,27.5,27.25,27.5,1910
2020-09-15 13:00:00,27.545,27.67,27.545,27.55,3196
2020-09-15 14:00:00,27.49,27.585,27.48,27.585,4900
2020-09-15 15:00:00,27.58,27.58,27.515,27.525,714
2020-09-16 10:00:00,28.195,28.385,28.07,28.29,7557
2020-09-16 11:00:00,28.275,28.56,28.275,28.475,6260
2020-09-16 12:00:00,28.6,28.705,28.56,28.685,11907
2020-09-16 13:00:00,28.71,28.715,28.54,28.555,11526
2020-09-16 14:00:00,28.62,28.735,28.595,28.655,6595
2020-09-16 15:00:00,28.685,28.73,28.655,28.695,8663
2020-09-17 10:00:00,28.735,29.21,28.72,29.08,11635
2020-09-17 11:00:00,29.115,29.365,29.115,29.205,4957
2020-09-17 12:00:00,29.25,29.29,29.12,29.25,4348
2020-09-17 13:00:00,29.3,29.34,29.3,29.325,2880
2020-09-17 14:00:00,29.295,29.32,29.21,29.21,6199
2020-09-17 15:00:00,29.24,29.27,29.195,29.235,10058
2020-09-18 10:00:00,29.33,29.42,29.29,29.415,15057
2020-09-18 11:00:00,29.365,29.415,29.285,29.325,14875
2020-09-18 12:00:00,29.325,29.325,29.105,29.155,16013
2020-09-18 13:00:00,29.175,29.205,28.905,29.035,14850
2020-09-18 14:00:00,29.055,29.255,29.03,29.19,19469
2020-09-18 15:00:00,29.19,29.195,29.06,29.075,13529
2020-09-21 10:00:00,28.36,28.36,27.875,28.13,23442
2020-09-21 11:00:00,28.01,28.04,27.72,28.04,3551
2020-09-21 12:00:00,28.025,28.05,27.845,28.02,5827
2020-09-21 13:00:00,27.99,27.99,27.83,27.83,500
2020-09-21 14:00:00,27.89,27.935,27.87,27.88,3927
2020-09-21 15:00:00,28.175,28.275,28.17,28.275,4941
2020-09-22 10:00:00,28.14,28.14,28.125,28.13,1000
2020-09-22 11:00:00,28.11,28.22,28.11,28.19,2155
2020-09-22 12:00:00,28.26,28.28,27.87,27.89,1000
2020-09-22 13:00:00,27.84,28.16,27.84,28.13,3404
2020-09-22 14:00:00,28.15,28.25,28.15,28.18,3175
2020-09-22 15:00:00,28.19,28.23,28.16,28.165,2366
2020-09-23 10:00:00,28.18,28.69,28.18,28.56,6012
2020-09-23 11:00:00,28.5,28.51,28.18,28.18,3400
2020-09-23 12:00:00,28.15,28.83,28.15,28.54,26737
2020-09-23 13:00:00,28.4,28.47,28.26,28.26,2081
2020-09-23 14:00:00,28.27,28.3,28.19,28.23,4100
2020-09-23 15:00:00,28.185,28.19,28.02,28.035,3315
2020-09-24 10:00:00,28.25,28.46,28.23,28.25,5200
2020-09-24 11:00:00,28.27,28.32,28.2,28.22,6200
2020-09-24 12:00:00,28.38,28.38,28.38,28.38,469
2020-09-24 13:00:00,28.33,28.535,28.33,28.535,2335
2020-09-24 14:00:00,28.54,28.58,28.45,28.45,2700
2020-09-24 15:00:00,28.43,28.51,28.415,28.49,6739
2020-09-25 10:00:00,28.28,28.415,28.19,28.39,4467
2020-09-25 11:00:00,28.39,28.4,28.29,28.29,900
2020-09-25 12:00:00,28.375,28.375,28.375,28.375,134
2020-09-25 13:00:00,28.45,28.48,28.45,28.48,467
2020-09-25 14:00:00,28.45,28.49,28.45,28.485,400
2020-09-25 15:00:00,28.5,28.51,28.35,28.35,9521
2020-09-28 10:00:00,28.44,28.67,28.43,28.67,903
2020-09-28 11:00:00,28.44,28.62,28.44,28.62,600
2020-09-28 13:00:00,28.7,28.7,28.595,28.625,2300
2020-09-28 14:00:00,28.625,28.835,28.625,28.835,4000
2020-09-28 15:00:00,28.815,28.825,28.685,28.695,6197
2020-09-29 10:00:00,28.255,28.305,27.75,27.915,3356
2020-09-29 11:00:00,27.865,27.865,27.44,27.44,4750
2020-09-29 12:00:00,27.39,27.55,27.3,27.505,19200
2020-09-29 13:00:00,27.535,27.675,27.505,27.635,10602
2020-09-29 14:00:00,27.635,27.885,27.635,27.72,11700
2020-09-29 15:00:00,27.735,27.735,27.61,27.685,4000
2020-09-30 10:00:00,27.92,28.115,27.92,28.03,14301
2020-09-30 11:00:00,28.08,28.26,28.08,28.26,1200
2020-09-30 12:00:00,28.25,28.34,28.2,28.34,1800
2020-09-30 13:00:00,28.23,28.24,28.165,28.22,3100
2020-09-30 14:00:00,28.41,28.53,28.32,28.32,3067
2020-09-30 15:00:00,28.27,28.39,28.23,28.39,7782
2020-10-01 10:00:00,27.55,27.55,26.96,27.07,9366
2020-10-01 11:00:00,27.025,27.145,26.765,27.135,44139
2020-10-01 12:00:00,27.1,27.21,27.055,27.115,11622
