datetime,Open,High,Low,Close,Volume
2020-07-27 09:30:00,41.92,41.92,41.88,41.88,175
2020-07-27 10:30:00,41.76,41.78,41.68,41.68,100
2020-07-27 10:45:00,41.56,41.56,41.56,41.56,50
2020-07-27 11:00:00,41.08,41.1,41.0,41.0,375
2020-07-27 11:15:00,40.42,40.46,40.42,40.46,500
2020-07-27 11:30:00,40.64,40.84,40.56,40.84,775
2020-07-27 11:45:00,40.56,40.56,40.52,40.52,175
2020-07-27 12:15:00,40.74,40.9,40.74,40.9,1250
2020-07-27 12:30:00,40.88,40.88,40.88,40.88,175
2020-07-27 12:45:00,40.94,40.94,40.94,40.94,125
2020-07-27 13:00:00,40.72,40.72,40.72,40.72,100
2020-07-27 14:00:00,41.04,41.04,41.02,41.02,175
2020-07-27 14:15:00,41.0,41.0,40.8,40.8,375
2020-07-27 14:30:00,40.8,40.8,40.8,40.8,125
2020-07-27 15:00:00,40.64,40.64,40.64,40.64,25
2020-07-27 15:30:00,40.8,40.8,40.8,40.8,175
2020-07-27 15:45:00,40.66,40.66,40.62,40.66,425
2020-07-28 09:30:00,42.52,42.52,42.26,42.26,957
2020-07-28 10:15:00,42.26,42.26,42.26,42.26,50
2020-07-28 10:45:00,42.14,42.14,42.14,42.14,25
2020-07-28 12:15:00,41.42,41.42,41.42,41.42,275
2020-07-28 12:30:00,41.54,41.72,41.54,41.72,275
2020-07-28 12:45:00,41.76,41.76,41.56,41.56,50
2020-07-28 13:00:00,41.72,41.72,41.72,41.72,100
2020-07-28 14:15:00,42.38,42.54,42.38,42.48,772
2020-07-28 14:45:00,42.44,42.44,42.44,42.44,100
2020-07-28 15:30:00,42.38,42.38,42.36,42.36,62
2020-07-28 15:45:00,42.38,42.38,42.38,42.38,150
2020-07-29 09:30:00,42.9,42.9,42.9,42.9,649
2020-07-29 10:00:00,42.68,42.68,42.54,42.54,125
2020-07-29 10:15:00,42.8,42.8,42.68,42.76,265
2020-07-29 10:45:00,42.76,42.82,42.76,42.82,175
2020-07-29 11:00:00,42.78,42.78,42.78,42.78,50
2020-07-29 11:15:00,42.64,42.64,42.64,42.64,50
2020-07-29 11:30:00,42.82,43.04,42.82,43.04,400
2020-07-29 11:45:00,43.24,43.24,43.24,43.24,100
2020-07-29 12:00:00,43.8,43.86,43.8,43.86,325
2020-07-29 12:15:00,43.72,43.76,43.6,43.64,763
2020-07-29 12:45:00,43.8,43.8,43.8,43.8,25
2020-07-29 13:00:00,43.98,43.98,43.98,43.98,200
2020-07-29 13:15:00,43.94,43.94,43.94,43.94,50
2020-07-29 13:45:00,43.48,43.48,43.48,43.48,25
2020-07-29 14:00:00,43.68,43.84,43.68,43.84,125
2020-07-29 14:15:00,43.86,44.16,43.86,44.0,1175
2020-07-29 14:45:00,43.64,43.64,43.64,43.64,225
2020-07-29 15:00:00,43.34,43.38,43.34,43.38,325
2020-07-29 15:15:00,43.42,43.42,43.34,43.34,275
2020-07-29 15:45:00,43.42,43.42,43.38,43.38,50
2020-07-30 10:15:00,42.84,42.88,42.84,42.88,350
2020-07-30 10:30:00,42.68,42.9,42.68,42.9,1450
2020-07-30 10:45:00,42.64,42.64,42.26,42.26,651
2020-07-30 11:00:00,42.28,42.32,42.28,42.32,500
2020-07-30 11:30:00,42.08,42.08,42.08,42.08,100
2020-07-30 13:00:00,42.0,42.0,41.82,41.82,75
2020-07-30 13:15:00,41.86,41.96,41.78,41.78,500
2020-07-30 13:45:00,41.54,41.54,41.5,41.52,809
2020-07-30 14:00:00,41.54,41.6,41.54,41.56,100
2020-07-30 14:15:00,41.64,41.8,41.62,41.68,225
2020-07-30 15:45:00,41.74,41.74,41.74,41.74,250
2020-07-31 09:30:00,41.72,41.72,41.68,41.68,125
2020-07-31 09:45:00,41.52,41.52,41.52,41.52,75
2020-07-31 10:15:00,41.88,41.88,41.88,41.88,100
2020-07-31 11:00:00,41.52,41.52,41.52,41.52,25
2020-07-31 11:15:00,41.56,41.56,41.56,41.56,25
2020-07-31 11:30:00,41.48,41.48,41.48,41.48,25
2020-07-31 12:15:00,41.32,41.32,41.32,41.32,50
2020-07-31 13:00:00,40.86,40.86,40.86,40.86,175
2020-07-31 14:30:00,41.18,41.22,41.0,41.0,650
2020-07-31 14:45:00,40.96,40.96,40.96,40.96,125
2020-07-31 15:00:00,40.98,41.0,40.98,41.0,425
2020-07-31 15:15:00,41.02,41.02,41.02,41.02,100
2020-07-31 15:45:00,41.06,41.06,41.06,41.06,100
2020-08-03 09:30:00,45.34,45.62,45.32,45.44,3343
2020-08-03 09:45:00,45.36,45.36,45.12,45.12,300
2020-08-03 10:00:00,45.64,45.64,45.5,45.52,2355
2020-08-03 10:15:00,45.6,46.16,45.6,46.16,961
2020-08-03 10:30:00,46.56,46.64,46.44,46.44,300
2020-08-03 10:45:00,46.96,47.84,46.96,47.1,4833
2020-08-03 11:00:00,46.9,47.28,46.9,47.28,503
2020-08-03 11:15:00,47.44,47.58,47.44,47.58,231
2020-08-03 11:30:00,47.44,47.44,47.28,47.32,375
2020-08-03 11:45:00,47.42,47.6,47.42,47.6,175
2020-08-03 12:00:00,47.66,47.72,47.66,47.72,775
2020-08-03 12:15:00,47.84,47.84,47.52,47.52,625
