datetime,Open,High,Low,Close,Volume
2020-07-27 10:00:00,41.76,41.78,41.56,41.56,150
2020-07-27 11:00:00,41.08,41.1,40.42,40.52,1825
2020-07-27 12:00:00,40.74,40.94,40.74,40.94,1550
2020-07-27 13:00:00,40.72,40.72,40.72,40.72,100
2020-07-27 14:00:00,41.04,41.04,40.8,40.8,675
2020-07-27 15:00:00,40.64,40.8,40.62,40.66,625
2020-07-28 10:00:00,42.26,42.26,42.14,42.14,75
2020-07-28 12:00:00,41.42,41.76,41.42,41.56,600
2020-07-28 13:00:00,41.72,41.72,41.72,41.72,100
2020-07-28 14:00:00,42.38,42.54,42.38,42.44,872
2020-07-28 15:00:00,42.38,42.38,42.36,42.38,212
2020-07-29 10:00:00,42.68,42.82,42.54,42.82,565
2020-07-29 11:00:00,42.78,43.24,42.64,43.24,600
2020-07-29 12:00:00,43.8,43.86,43.6,43.8,1113
2020-07-29 13:00:00,43.98,43.98,43.48,43.48,275
2020-07-29 14:00:00,43.68,44.16,43.64,43.64,1525
2020-07-29 15:00:00,43.34,43.42,43.34,43.38,650
2020-07-30 10:00:00,42.84,42.9,42.26,42.26,2451
2020-07-30 11:00:00,42.28,42.32,42.08,42.08,600
2020-07-30 13:00:00,42.0,42.0,41.5,41.52,1384
2020-07-30 14:00:00,41.54,41.8,41.54,41.68,325
2020-07-30 15:00:00,41.74,41.74,41.74,41.74,250
2020-07-31 10:00:00,41.88,41.88,41.88,41.88,100
2020-07-31 11:00:00,41.52,41.56,41.48,41.48,75
2020-07-31 12:00:00,41.32,41.32,41.32,41.32,50
2020-07-31 13:00:00,40.86,40.86,40.86,40.86,175
2020-07-31 14:00:00,41.18,41.22,40.96,40.96,775
2020-07-31 15:00:00,40.98,41.06,40.98,41.06,625
2020-08-03 10:00:00,45.64,47.84,45.5,47.1,8449
2020-08-03 11:00:00,46.9,47.6,46.9,47.6,1284
2020-08-03 12:00:00,47.66,48.04,47.52,48.04,2430
2020-08-03 13:00:00,48.14,49.0,47.88,47.88,2707
2020-08-03 14:00:00,47.62,48.42,47.58,47.58,2579
2020-08-03 15:00:00,47.78,48.06,47.78,48.06,4583
2020-08-04 10:00:00,48.6,48.72,48.4,48.64,2500
2020-08-04 11:00:00,48.68,49.24,48.68,49.18,8302
2020-08-04 12:00:00,49.56,50.0,49.44,49.44,1352
2020-08-04 13:00:00,49.44,49.82,49.44,49.82,700
2020-08-04 14:00:00,49.76,50.0,49.36,50.0,1124
2020-08-04 15:00:00,49.9,49.9,49.74,49.74,786
2020-08-05 10:00:00,50.8,51.36,50.8,51.36,836
2020-08-05 11:00:00,50.4,50.42,49.96,50.04,1139
2020-08-05 12:00:00,50.14,50.14,49.52,49.72,1237
2020-08-05 13:00:00,49.76,50.06,49.76,50.04,975
2020-08-05 14:00:00,49.78,50.7,49.54,50.7,1200
2020-08-05 15:00:00,50.66,50.68,50.34,50.38,400
2020-08-06 10:00:00,51.24,51.24,50.48,50.96,3071
2020-08-06 11:00:00,51.2,51.36,50.56,50.56,2105
2020-08-06 12:00:00,50.62,50.62,49.7,49.84,423
2020-08-06 13:00:00,49.76,49.76,49.56,49.56,350
2020-08-06 14:00:00,49.72,49.72,49.14,49.26,1025
2020-08-06 15:00:00,49.24,49.24,48.78,48.94,1826
2020-08-07 10:00:00,50.34,50.7,50.06,50.58,1875
2020-08-07 11:00:00,50.56,50.62,49.66,49.78,2550
2020-08-07 12:00:00,49.82,50.5,49.82,50.36,1852
2020-08-07 13:00:00,50.38,51.14,50.38,51.06,1201
2020-08-07 14:00:00,51.04,51.22,50.68,50.68,528
2020-08-07 15:00:00,50.72,51.3,50.72,51.24,800
2020-08-10 10:00:00,50.0,50.18,49.44,49.52,2312
2020-08-10 11:00:00,49.66,49.66,49.26,49.42,550
2020-08-10 12:00:00,48.92,48.92,48.42,48.66,1025
2020-08-10 13:00:00,48.68,48.84,48.64,48.84,275
2020-08-10 14:00:00,48.98,49.12,48.78,49.06,500
2020-08-10 15:00:00,49.18,49.26,49.14,49.26,2125
2020-08-11 10:00:00,49.68,49.76,49.42,49.76,566
2020-08-11 11:00:00,49.82,49.92,49.72,49.72,417
2020-08-11 12:00:00,49.98,50.06,49.82,49.9,325
2020-08-11 13:00:00,49.92,49.92,49.56,49.56,125
