datetime,Open,High,Low,Close,Volume
2020-07-27 09:30:00,264.68,264.68,264.41,264.41,750
2020-07-27 09:45:00,264.99,265.34,264.99,265.34,219
2020-07-27 10:15:00,266.08,266.08,266.08,266.08,100
2020-07-27 10:30:00,266.08,266.08,266.06,266.06,200
2020-07-27 10:45:00,266.04,266.04,266.04,266.04,100
2020-07-27 11:15:00,265.69,265.69,265.3,265.35,1550
2020-07-27 11:30:00,265.15,265.19,265.005,265.19,1200
2020-07-27 11:45:00,265.47,265.47,265.47,265.47,100
2020-07-27 12:00:00,265.46,265.46,265.46,265.46,100
2020-07-27 12:15:00,265.45,265.45,265.45,265.45,100
2020-07-27 12:30:00,265.68,265.68,265.58,265.63,300
2020-07-27 12:45:00,265.7,265.715,265.7,265.715,200
2020-07-27 13:00:00,265.64,265.64,265.45,265.55,400
2020-07-27 13:30:00,265.51,265.65,265.49,265.49,620
2020-07-27 13:45:00,265.465,265.465,265.465,265.465,249
2020-07-27 14:15:00,265.21,265.42,265.21,265.42,200
2020-07-27 14:30:00,265.46,265.46,265.46,265.46,100
2020-07-27 14:45:00,265.13,265.13,265.03,265.03,300
2020-07-27 15:00:00,265.2,265.37,265.2,265.37,351
2020-07-27 15:15:00,265.42,265.755,265.42,265.75,800
2020-07-27 15:30:00,265.79,265.79,265.76,265.78,309
2020-07-27 15:45:00,265.77,265.99,265.75,265.92,3430
2020-07-28 09:30:00,265.09,265.09,265.09,265.09,100
2020-07-28 09:45:00,264.72,264.72,264.11,264.11,1000
2020-07-28 10:00:00,264.81,264.81,264.81,264.81,200
2020-07-28 10:45:00,264.38,264.62,264.38,264.62,200
2020-07-28 11:00:00,264.65,264.84,264.14,264.84,300
2020-07-28 11:15:00,264.9,264.9,264.9,264.9,100
2020-07-28 11:45:00,264.99,264.99,264.94,264.94,200
2020-07-28 12:15:00,264.79,264.79,264.7,264.75,500
2020-07-28 12:30:00,264.765,264.78,264.765,264.77,400
2020-07-28 12:45:00,264.855,264.855,264.855,264.855,100
2020-07-28 13:15:00,264.905,265.07,264.905,264.98,300
2020-07-28 13:30:00,265.05,265.05,265.05,265.05,100
2020-07-28 13:45:00,265.29,265.49,265.26,265.49,400
2020-07-28 14:00:00,265.43,265.43,265.43,265.43,100
2020-07-28 14:45:00,265.35,265.35,265.35,265.35,100
2020-07-28 15:15:00,264.89,265.05,264.89,265.05,200
2020-07-28 15:30:00,264.5,264.5,264.5,264.5,100
2020-07-28 15:45:00,264.25,264.25,263.63,263.95,2534
2020-07-29 09:30:00,264.18,264.19,264.11,264.12,2000
2020-07-29 09:45:00,263.94,264.38,263.89,264.27,500
2020-07-29 10:00:00,264.58,264.58,264.56,264.56,259
2020-07-29 10:30:00,264.26,264.38,264.26,264.38,1000
2020-07-29 10:45:00,264.41,264.41,264.41,264.41,100
2020-07-29 11:00:00,264.45,264.45,264.45,264.45,100
2020-07-29 11:15:00,264.44,264.65,264.44,264.65,200
2020-07-29 11:30:00,264.68,264.68,264.68,264.68,100
2020-07-29 12:00:00,264.48,264.54,264.46,264.53,800
2020-07-29 12:15:00,264.69,264.69,264.69,264.69,100
2020-07-29 12:45:00,264.785,264.785,264.74,264.74,287
2020-07-29 13:00:00,264.82,264.82,264.82,264.82,100
2020-07-29 13:15:00,264.86,264.99,264.86,264.99,400
2020-07-29 13:30:00,264.9,264.9,264.83,264.83,308
2020-07-29 13:45:00,264.7,264.7,264.7,264.7,279
2020-07-29 14:00:00,265.0,265.0,264.74,264.74,700
2020-07-29 14:30:00,265.08,265.08,265.08,265.08,100
2020-07-29 14:45:00,265.48,265.52,265.32,265.32,300
2020-07-29 15:00:00,264.99,265.07,264.79,265.07,327
2020-07-29 15:15:00,265.29,265.71,265.29,265.63,1712
2020-07-29 15:30:00,265.96,265.98,265.81,265.81,630
2020-07-29 15:45:00,265.57,265.57,265.11,265.47,2568
2020-07-30 09:30:00,262.24,262.55,261.28,261.28,2278
2020-07-30 09:45:00,261.63,261.63,260.56,260.56,659
2020-07-30 10:00:00,260.0,260.49,260.0,260.14,1007
2020-07-30 10:15:00,260.57,260.74,260.27,260.73,1000
2020-07-30 10:30:00,260.99,260.99,260.99,260.99,100
2020-07-30 10:45:00,261.08,261.26,260.84,261.26,1009
2020-07-30 11:15:00,262.39,262.39,262.19,262.19,600
2020-07-30 11:30:00,262.72,262.72,262.72,262.72,100
2020-07-30 12:00:00,262.56,262.56,262.18,262.18,500
2020-07-30 12:15:00,263.13,263.3,263.02,263.02,500
2020-07-30 12:30:00,263.17,263.17,263.08,263.08,300
2020-07-30 12:45:00,263.11,263.11,263.01,263.02,500
2020-07-30 13:00:00,263.185,263.42,263.14,263.415,1000
2020-07-30 13:15:00,263.82,263.82,263.42,263.42,400
2020-07-30 13:45:00,262.69,262.88,262.69,262.88,1210
2020-07-30 14:00:00,262.91,262.91,262.78,262.78,250
2020-07-30 14:15:00,262.91,263.24,262.84,262.92,2087
2020-07-30 14:30:00,263.1,263.49,263.1,263.49,790
2020-07-30 14:45:00,263.38,263.38,263.26,263.26,200
2020-07-30 15:00:00,262.985,263.09,262.91,263.09,500
2020-07-30 15:15:00,263.15,263.36,263.15,263.24,499
2020-07-30 15:30:00,263.32,263.5,263.05,263.05,1696
2020-07-30 15:45:00,263.07,263.29,262.96,263.28,3355
2020-07-31 09:30:00,263.7,263.73,263.07,263.07,2785
2020-07-31 09:45:00,263.05,263.11,263.05,263.11,305
2020-07-31 10:00:00,261.98,261.98,261.98,261.98,300
2020-07-31 10:15:00,261.75,261.98,261.5,261.54,2428
2020-07-31 10:30:00,261.55,261.81,261.55,261.81,550
